Tenure,Gender,Geography,salary_quantiles,balance_quantiles,age_quantiles,CreditScore,NumOfProducts,HasCrCard,Exited
6,Male,France,fourth,fifth,third,659,2,1,0
8,Female,France,seventh,first,second,726,2,0,0
2,Female,France,sixth,first,second,745,4,0,1
7,Male,France,fourth,seventh,fifth,518,2,1,0
9,Male,France,sixth,first,third,685,1,1,0
9,Female,France,sixth,first,seventh,481,3,1,1
9,Male,France,third,fifth,fifth,709,1,0,0
3,Female,France,fourth,fourth,second,715,1,1,0
5,Male,France,fifth,first,fourth,666,2,1,0
2,Female,France,seventh,seventh,second,548,1,1,1
9,Female,France,fourth,first,seventh,627,2,1,0
9,Male,France,sixth,first,sixth,589,2,1,0
7,Male,France,seventh,first,first,658,2,0,0
5,Female,France,second,first,fourth,625,2,1,0
4,Male,France,sixth,fifth,first,808,1,1,0
2,Female,France,fifth,fourth,sixth,796,1,1,0
5,Female,France,sixth,fourth,first,534,1,0,0
8,Female,France,fourth,first,second,631,2,0,0
4,Male,France,second,fifth,third,666,2,1,0
5,Male,France,third,third,fourth,655,2,1,0
4,Male,France,fifth,third,fifth,663,2,1,0
8,Male,France,fourth,first,seventh,611,2,0,1
3,Male,France,fifth,third,fifth,507,2,1,0
10,Male,France,fourth,third,third,516,1,1,0
7,Female,France,first,sixth,second,451,1,0,0
2,Female,France,third,fifth,fourth,574,2,1,0
1,Female,France,seventh,third,first,748,1,0,0
8,Male,France,seventh,seventh,seventh,678,1,0,1
9,Male,France,sixth,first,first,616,1,1,0
4,Male,France,sixth,fifth,fourth,850,2,0,0
6,Female,France,third,first,second,725,1,0,0
8,Female,France,third,third,seventh,536,1,1,1
9,Male,France,second,seventh,sixth,769,2,1,0
3,Male,France,first,fifth,fifth,682,1,0,0
3,Female,France,third,first,seventh,655,2,1,0
3,Male,France,seventh,first,fourth,445,2,1,0
6,Female,France,first,first,fifth,653,2,1,0
8,Male,France,fifth,seventh,first,546,1,1,0
9,Male,France,sixth,first,third,772,2,1,0
4,Male,France,sixth,first,second,643,2,1,0
4,Female,France,second,first,fourth,592,2,1,0
2,Male,France,sixth,first,seventh,756,1,1,1
5,Male,France,third,fourth,third,676,2,1,0
2,Female,France,sixth,seventh,second,790,1,1,0
1,Female,France,second,first,fifth,506,2,1,0
1,Female,France,fifth,fifth,second,743,1,1,0
1,Female,France,third,first,second,685,3,0,1
1,Female,France,fifth,sixth,fifth,718,1,0,0
10,Female,France,third,first,fourth,773,2,0,0
9,Male,France,third,fifth,second,570,2,0,0
2,Female,France,fifth,first,first,627,2,1,0
5,Male,France,third,first,sixth,584,2,1,0
8,Female,France,fourth,first,first,501,2,1,0
3,Male,France,first,first,second,509,2,1,0
4,Female,France,second,third,second,801,1,1,0
5,Male,France,sixth,fourth,fourth,639,1,0,0
4,Male,France,seventh,sixth,first,769,1,1,0
7,Male,France,second,first,first,577,2,1,0
8,Female,France,fourth,first,first,711,2,0,0
4,Male,France,second,first,sixth,524,2,1,1
6,Female,France,third,first,fourth,449,2,1,0
4,Female,France,fifth,first,first,844,2,0,0
6,Male,France,fifth,third,sixth,744,2,0,0
5,Female,France,sixth,first,second,709,2,0,0
10,Male,France,third,sixth,sixth,495,1,1,0
10,Female,France,sixth,first,second,694,2,1,0
0,Female,France,seventh,first,third,661,2,1,0
8,Male,France,fifth,sixth,second,555,1,1,0
1,Male,France,fourth,first,sixth,483,2,1,0
5,Male,France,first,third,seventh,532,2,0,0
1,Female,France,first,first,seventh,765,1,1,1
9,Female,France,first,first,third,592,2,1,0
7,Female,France,fifth,third,seventh,687,1,1,1
5,Male,France,fourth,first,fourth,622,2,0,0
4,Male,France,fourth,fifth,third,642,1,1,0
5,Female,France,fifth,seventh,third,567,2,1,0
8,Male,France,fifth,third,second,508,1,1,0
6,Male,France,sixth,first,third,543,2,1,0
9,Female,France,fourth,fourth,sixth,644,1,1,1
10,Female,France,sixth,first,fifth,707,2,1,0
5,Male,France,fourth,fifth,third,636,2,1,0
4,Male,France,fourth,first,sixth,699,2,0,0
2,Male,France,second,seventh,third,523,1,1,0
7,Male,France,third,first,third,418,2,1,0
6,Female,France,seventh,first,third,850,2,1,0
7,Male,France,third,fourth,fifth,640,1,1,0
8,Female,France,sixth,seventh,fourth,550,1,0,1
1,Male,France,second,first,seventh,664,2,1,0
2,Male,France,third,fifth,second,786,2,0,0
5,Female,France,third,seventh,seventh,639,1,1,1
4,Female,France,fifth,first,first,723,2,1,0
8,Female,France,first,first,third,672,2,1,0
6,Male,France,fourth,first,first,494,2,0,0
3,Male,France,sixth,first,fourth,642,2,0,0
9,Male,France,fourth,fifth,fifth,709,1,1,0
5,Female,France,second,first,second,605,2,1,0
5,Female,France,fourth,sixth,fifth,560,1,1,0
8,Female,France,first,first,fifth,850,1,1,1
5,Male,France,second,first,second,584,2,1,0
9,Female,France,seventh,first,first,850,2,1,0
1,Male,France,first,third,fifth,551,1,1,0
10,Male,France,seventh,seventh,sixth,679,2,1,1
3,Female,France,second,fifth,sixth,628,2,1,0
4,Female,France,fifth,first,third,549,2,0,0
1,Male,France,first,first,first,686,2,0,0
6,Male,France,second,first,fifth,772,2,1,0
9,Male,France,third,sixth,first,583,1,0,0
5,Female,France,sixth,first,first,597,2,1,0
2,Female,France,sixth,first,first,763,2,1,0
7,Female,France,second,fifth,sixth,562,2,0,0
2,Male,France,second,sixth,fifth,551,1,1,1
1,Female,France,sixth,third,second,579,2,0,0
3,Male,France,fourth,sixth,fifth,640,1,1,0
5,Male,France,second,fifth,third,653,1,1,0
5,Male,France,fifth,fifth,sixth,735,1,1,0
5,Male,France,fourth,third,first,702,2,1,1
5,Female,France,first,first,third,552,2,1,0
8,Male,France,second,third,sixth,718,3,1,1
2,Female,France,seventh,fourth,third,479,1,1,0
4,Male,France,second,first,sixth,738,1,0,1
3,Female,France,second,first,third,626,2,1,0
9,Female,France,fourth,first,first,653,2,1,0
4,Female,France,second,first,first,623,2,1,0
1,Female,France,fourth,first,third,507,2,0,0
8,Female,France,third,third,first,789,1,1,0
6,Male,France,seventh,first,first,722,2,1,0
1,Female,France,sixth,fourth,second,607,1,1,0
3,Male,France,sixth,first,sixth,435,1,1,1
2,Female,France,fourth,third,second,707,2,0,0
1,Male,France,second,fifth,seventh,705,2,1,0
10,Female,France,third,fourth,sixth,510,2,0,0
4,Male,France,seventh,first,sixth,552,1,1,1
1,Male,France,sixth,fifth,fourth,584,1,0,0
6,Female,France,first,first,first,672,1,0,0
5,Female,France,seventh,first,third,551,1,1,0
4,Female,France,fourth,fifth,second,714,1,1,0
0,Male,France,third,sixth,second,637,2,0,0
6,Female,France,third,first,fifth,593,1,1,0
9,Male,France,sixth,first,second,775,2,1,0
3,Male,France,third,first,first,679,2,1,0
1,Female,France,sixth,fourth,fourth,712,2,0,0
3,Male,France,fifth,first,third,488,2,1,0
2,Female,France,fifth,fourth,third,615,2,1,0
4,Male,France,seventh,first,first,556,1,1,0
1,Male,France,second,first,sixth,710,2,1,0
9,Male,France,first,first,first,835,1,1,1
1,Female,France,seventh,first,fifth,823,2,0,0
7,Female,France,second,fourth,sixth,800,1,0,0
3,Female,France,seventh,first,sixth,677,2,1,0
1,Male,France,seventh,fourth,first,623,2,0,0
9,Male,France,seventh,fifth,fifth,733,1,1,0
6,Female,France,first,first,third,605,1,0,0
3,Female,France,fifth,first,third,758,2,1,0
7,Male,France,second,first,second,631,1,1,1
2,Male,France,sixth,first,third,760,2,1,0
9,Male,France,second,first,second,680,2,1,0
8,Female,France,seventh,first,third,533,2,1,0
8,Male,France,seventh,fourth,first,850,1,1,0
6,Female,France,seventh,first,seventh,506,2,0,1
7,Female,France,sixth,seventh,fifth,794,3,1,1
4,Male,France,seventh,first,seventh,705,2,1,0
9,Female,France,fourth,sixth,third,729,1,0,0
9,Male,France,second,first,third,762,2,1,0
2,Male,France,second,third,first,654,1,1,0
2,Female,France,third,first,fifth,585,2,1,0
3,Female,France,second,first,first,619,2,1,0
1,Female,France,third,third,first,666,1,0,0
3,Male,France,seventh,first,fifth,591,2,0,0
4,Male,France,sixth,sixth,second,543,1,1,0
6,Female,France,first,first,seventh,581,1,1,0
8,Male,France,fourth,first,sixth,753,3,1,1
1,Female,France,fourth,first,second,571,2,1,0
6,Female,France,fourth,third,second,478,1,1,0
3,Female,France,fifth,sixth,fourth,568,1,0,0
8,Male,France,first,fourth,fourth,701,1,1,0
4,Male,France,third,first,second,731,2,1,0
3,Male,France,sixth,third,fourth,700,2,1,0
7,Male,France,sixth,first,first,732,2,1,0
8,Female,France,first,first,first,529,2,1,0
8,Male,France,fourth,seventh,fifth,699,1,1,0
3,Male,France,fifth,sixth,fourth,702,1,0,0
2,Male,France,third,sixth,second,596,1,0,0
8,Male,France,fifth,first,fifth,590,2,1,0
4,Female,France,first,first,sixth,493,2,1,0
0,Male,France,fifth,first,fifth,708,1,1,0
9,Male,France,second,first,seventh,694,1,1,0
7,Male,France,seventh,sixth,fifth,656,1,1,0
8,Male,France,fifth,first,second,446,2,0,0
5,Male,France,sixth,first,fourth,618,1,0,1
1,Male,France,sixth,first,second,635,3,0,1
6,Female,France,fourth,third,seventh,635,1,1,0
10,Male,France,fifth,first,fourth,724,1,1,1
6,Female,France,first,first,fourth,481,1,1,0
6,Male,France,second,third,seventh,641,1,1,1
7,Male,France,fifth,sixth,sixth,565,1,0,0
8,Male,France,second,first,first,511,2,1,0
3,Female,France,seventh,sixth,fifth,774,1,0,0
6,Male,France,third,sixth,fifth,721,1,1,0
3,Male,France,seventh,first,third,726,2,1,0
1,Female,France,sixth,first,fifth,716,1,1,0
7,Male,France,fourth,sixth,fifth,666,2,1,1
4,Male,France,third,fourth,second,788,1,0,0
3,Female,France,third,first,sixth,839,1,1,1
4,Male,France,fourth,fifth,second,553,1,0,0
7,Female,France,fourth,first,second,760,2,1,0
4,Female,France,fourth,first,first,539,2,1,0
3,Female,France,third,sixth,second,574,1,1,0
8,Male,France,fifth,third,third,745,1,1,0
9,Male,France,seventh,fifth,fourth,594,2,0,0
5,Male,France,second,fifth,third,806,1,0,0
3,Male,France,fifth,first,fourth,537,2,0,0
10,Female,France,third,fourth,fifth,779,1,1,0
4,Female,France,fifth,fifth,fifth,757,1,1,0
2,Male,France,sixth,first,fifth,731,1,1,1
6,Male,France,first,first,seventh,664,2,1,0
6,Female,France,fourth,sixth,fourth,520,1,0,0
6,Female,France,fifth,first,sixth,608,1,1,0
2,Male,France,third,first,fourth,701,2,1,0
7,Female,France,fifth,seventh,sixth,697,4,0,1
2,Male,France,sixth,third,sixth,524,1,1,1
0,Female,France,fourth,first,first,607,2,1,0
6,Male,France,fifth,fourth,first,725,1,0,0
3,Female,France,second,first,sixth,567,1,1,0
4,Male,France,seventh,first,first,669,2,1,0
2,Male,France,first,first,fourth,776,1,0,0
0,Female,France,fourth,third,second,612,2,1,0
9,Female,France,third,third,sixth,618,3,1,1
4,Male,France,sixth,first,sixth,687,2,1,0
3,Male,France,seventh,first,fourth,605,2,1,0
7,Male,France,third,third,fourth,589,2,1,1
3,Female,France,fifth,third,fourth,800,2,1,0
5,Female,France,fifth,third,second,691,1,1,1
1,Female,France,first,first,fifth,653,2,1,0
3,Female,France,fifth,first,first,485,2,1,0
6,Female,France,third,seventh,first,613,2,1,0
6,Male,France,second,fifth,first,659,1,1,1
2,Male,France,third,seventh,third,724,2,0,0
1,Male,France,fifth,sixth,first,631,1,0,0
6,Male,France,third,first,third,624,2,0,0
7,Male,France,second,first,sixth,609,2,0,0
10,Female,France,third,first,sixth,433,1,1,0
7,Female,France,sixth,fifth,fourth,688,1,1,0
6,Male,France,first,first,seventh,850,1,1,1
1,Male,France,fifth,fourth,first,526,1,0,0
1,Male,France,fourth,fourth,seventh,500,1,1,1
2,Female,France,first,first,second,649,2,1,0
3,Female,France,second,fifth,third,633,2,1,0
3,Female,France,fourth,sixth,fifth,793,1,1,0
2,Female,France,third,fifth,sixth,635,2,1,0
4,Male,France,fifth,first,sixth,753,2,0,0
7,Male,France,sixth,first,seventh,429,2,1,0
6,Male,France,fifth,first,sixth,444,1,1,1
4,Female,France,fourth,first,second,737,2,1,0
9,Male,France,second,fifth,fourth,687,1,1,0
0,Male,France,fourth,sixth,sixth,540,1,0,0
1,Male,France,sixth,fourth,third,574,1,0,0
2,Male,France,sixth,fifth,third,525,1,0,0
7,Male,France,third,fourth,fifth,680,1,0,0
1,Male,France,first,first,second,538,2,1,0
4,Female,France,sixth,first,seventh,717,2,1,0
9,Male,France,first,third,first,624,2,0,0
1,Female,France,second,first,sixth,697,2,1,1
1,Female,France,fourth,fifth,fourth,567,2,1,0
3,Female,France,third,first,first,661,2,1,0
5,Female,France,third,sixth,fourth,662,2,1,0
6,Male,France,sixth,seventh,first,704,1,1,0
0,Male,France,second,first,fourth,587,2,1,0
7,Male,France,fourth,fourth,fourth,683,2,1,0
10,Female,France,second,sixth,sixth,638,1,1,0
8,Male,France,sixth,fourth,fourth,558,1,1,0
8,Female,France,fourth,first,seventh,570,1,0,1
7,Male,France,third,seventh,third,643,2,0,0
5,Male,France,sixth,first,fourth,567,2,0,0
6,Male,France,sixth,first,first,812,2,0,0
7,Female,France,seventh,first,fourth,663,1,1,0
7,Female,France,first,first,first,711,3,1,0
7,Male,France,fourth,sixth,second,660,1,0,0
7,Male,France,third,first,fifth,721,2,0,0
7,Female,France,third,first,fifth,794,2,1,0
5,Female,France,third,third,first,768,1,1,1
1,Female,France,second,first,first,623,2,0,0
7,Male,France,second,first,third,562,1,0,0
3,Female,France,fourth,first,second,710,1,1,0
5,Female,France,seventh,seventh,fourth,665,1,0,0
2,Female,France,sixth,first,seventh,708,1,1,1
2,Female,France,second,seventh,second,479,1,0,1
4,Male,France,fourth,sixth,fifth,647,1,1,1
5,Male,France,fourth,first,first,750,2,0,0
4,Male,France,third,seventh,fifth,736,1,1,0
9,Female,France,sixth,first,fourth,641,1,0,1
8,Female,France,fourth,first,fourth,743,1,1,0
6,Male,France,third,third,second,670,1,1,0
1,Male,France,third,first,fourth,576,2,1,0
1,Male,France,third,first,third,792,1,0,0
3,Female,France,sixth,fifth,fifth,614,1,1,0
6,Female,France,fifth,fourth,sixth,516,1,0,0
7,Male,France,seventh,fifth,sixth,678,1,0,1
9,Male,France,sixth,sixth,first,691,1,1,0
6,Female,France,sixth,sixth,sixth,698,4,1,1
3,Female,France,fourth,sixth,seventh,502,1,0,0
1,Male,France,seventh,first,sixth,614,2,1,0
1,Female,France,fifth,seventh,second,640,1,0,0
9,Male,France,fifth,seventh,sixth,695,1,1,0
4,Female,France,third,first,first,666,2,0,0
9,Male,France,fifth,first,second,579,1,0,0
5,Female,France,seventh,first,third,614,2,1,0
4,Female,France,third,seventh,seventh,624,3,1,1
6,Female,France,first,first,first,546,1,0,0
6,Female,France,fifth,first,fifth,556,3,0,1
2,Female,France,second,sixth,sixth,556,1,1,0
1,Male,France,third,fifth,fourth,649,1,0,0
3,Female,France,fifth,first,first,781,2,1,0
0,Male,France,fifth,fourth,third,610,1,0,0
3,Male,France,first,first,first,592,2,1,0
4,Female,France,second,first,second,582,2,1,0
5,Male,France,second,sixth,third,613,1,1,0
4,Female,France,second,first,fifth,680,2,1,0
5,Male,France,second,first,seventh,727,2,0,0
1,Female,France,seventh,sixth,fifth,678,1,1,1
3,Male,France,third,fourth,fourth,474,1,0,0
1,Male,France,second,third,fourth,604,1,0,0
1,Male,France,fourth,first,third,558,2,0,0
8,Male,France,first,first,second,615,2,0,0
10,Female,France,fourth,sixth,second,464,2,1,0
8,Male,France,third,first,third,509,2,0,0
4,Female,France,sixth,first,fifth,599,1,1,0
6,Female,France,fifth,third,sixth,674,1,0,0
8,Female,France,fourth,first,seventh,675,2,0,0
1,Male,France,third,first,first,669,2,0,0
7,Male,France,third,first,fourth,492,2,0,0
3,Male,France,fourth,sixth,second,681,2,1,0
5,Male,France,first,first,first,790,1,1,0
10,Male,France,third,first,third,714,2,1,0
7,Male,France,first,first,first,686,2,1,0
9,Male,France,first,sixth,fourth,686,1,1,0
7,Male,France,fourth,sixth,sixth,674,1,1,1
3,Male,France,second,seventh,second,701,2,1,0
5,Male,France,third,seventh,sixth,710,1,0,1
6,Female,France,sixth,first,fourth,665,1,1,0
9,Female,France,sixth,third,fifth,659,1,0,1
4,Male,France,sixth,first,second,682,1,0,0
9,Male,France,fourth,first,third,680,2,1,0
1,Male,France,fourth,sixth,fifth,678,1,1,1
9,Male,France,first,fourth,seventh,699,1,1,1
8,Male,France,seventh,third,fourth,603,1,1,0
1,Male,France,seventh,first,second,551,2,1,0
4,Female,France,first,first,sixth,753,2,1,0
8,Male,France,seventh,seventh,seventh,850,1,0,1
8,Male,France,fifth,first,third,552,2,0,0
3,Male,France,sixth,first,first,674,1,1,0
7,Female,France,sixth,fifth,seventh,624,2,1,0
7,Female,France,first,first,second,692,2,1,0
3,Female,France,seventh,sixth,fourth,554,1,1,0
8,Female,France,second,sixth,sixth,635,2,1,0
7,Female,France,fifth,sixth,seventh,508,1,1,0
2,Male,France,seventh,third,fifth,749,2,0,0
9,Male,France,third,seventh,first,530,1,1,0
6,Female,France,second,fourth,first,585,1,1,0
10,Male,France,first,sixth,seventh,542,1,0,0
6,Male,France,fourth,first,second,562,2,1,0
4,Female,France,second,first,first,747,2,0,0
5,Female,France,third,first,second,676,2,1,0
6,Female,France,first,sixth,first,700,1,0,0
10,Female,France,seventh,third,seventh,625,1,1,1
8,Male,France,third,seventh,fifth,696,1,0,0
7,Male,France,sixth,sixth,fourth,688,1,1,1
7,Male,France,second,first,first,674,2,1,1
4,Male,France,sixth,fifth,second,659,1,0,0
2,Male,France,third,first,sixth,487,2,1,0
6,Female,France,sixth,fifth,second,688,1,1,0
1,Male,France,sixth,sixth,fifth,635,2,0,0
0,Male,France,sixth,fifth,second,671,1,1,0
7,Male,France,first,first,fourth,749,2,1,0
7,Male,France,fifth,sixth,fourth,653,1,1,0
4,Male,France,first,fourth,fifth,748,1,0,0
4,Male,France,sixth,third,sixth,652,1,1,1
1,Female,France,seventh,first,fifth,559,2,1,0
4,Male,France,sixth,first,second,850,2,0,0
7,Male,France,second,first,fourth,658,2,1,0
7,Male,France,fifth,first,first,670,2,1,0
6,Female,France,third,first,third,502,2,1,0
8,Male,France,second,first,seventh,679,2,1,0
8,Male,France,fourth,fifth,third,712,1,1,0
4,Female,France,fourth,sixth,first,617,2,1,0
2,Female,France,fourth,first,second,709,2,0,0
6,Male,France,sixth,first,second,686,2,1,0
7,Male,France,second,first,first,604,2,0,0
5,Female,France,fifth,first,third,481,2,1,0
2,Male,France,fifth,first,seventh,569,1,1,1
2,Male,France,fifth,fifth,first,592,1,1,0
10,Male,France,fourth,seventh,fourth,702,1,1,0
4,Male,France,first,first,second,615,2,1,0
1,Male,France,fourth,third,fourth,756,1,1,0
5,Male,France,third,first,fifth,484,1,1,0
3,Female,France,third,first,third,626,1,0,0
7,Female,France,second,fourth,second,535,2,1,0
2,Male,France,fifth,first,first,718,1,1,0
6,Male,France,fourth,fifth,fourth,644,2,1,1
6,Male,France,third,first,second,810,2,1,0
9,Female,France,fifth,first,seventh,559,1,1,0
9,Female,France,sixth,sixth,first,561,1,1,1
9,Male,France,sixth,first,fourth,610,1,1,0
7,Female,France,first,first,fourth,642,2,1,0
7,Male,France,fourth,seventh,third,525,1,0,0
8,Female,France,fifth,fifth,first,696,1,1,0
7,Male,France,fifth,first,first,633,1,1,0
0,Male,France,third,first,fifth,808,1,1,0
2,Male,France,second,seventh,sixth,582,1,0,0
5,Female,France,fifth,fourth,first,576,1,1,0
4,Female,France,sixth,fifth,first,573,1,0,1
8,Male,France,sixth,fifth,fourth,637,1,1,0
9,Male,France,sixth,first,third,672,2,1,0
2,Female,France,first,first,first,610,2,1,0
1,Male,France,seventh,seventh,first,558,1,1,0
7,Female,France,first,third,sixth,716,2,1,1
10,Female,France,first,third,second,791,1,1,0
6,Male,France,sixth,fourth,third,565,1,1,0
2,Male,France,first,first,fifth,585,2,1,0
1,Male,France,first,first,third,660,2,1,0
7,Female,France,third,third,fourth,681,1,1,0
1,Female,France,sixth,third,second,697,1,1,0
2,Male,France,fifth,first,sixth,535,2,1,0
5,Female,France,second,fourth,first,706,1,1,0
3,Male,France,fourth,fifth,sixth,661,1,0,0
1,Male,France,second,first,seventh,586,2,1,0
8,Female,France,first,fifth,fifth,614,1,1,0
8,Male,France,fifth,first,fourth,676,2,1,0
4,Male,France,seventh,third,first,696,2,0,0
3,Male,France,fourth,fifth,fourth,728,2,0,1
4,Female,France,third,first,first,640,2,0,0
10,Male,France,fifth,third,sixth,519,1,1,0
4,Female,France,fourth,first,seventh,850,2,1,0
7,Female,France,fifth,first,fifth,634,2,1,0
1,Male,France,first,fourth,third,470,1,0,0
9,Female,France,sixth,sixth,first,777,1,1,1
8,Male,France,fourth,first,second,514,2,1,0
6,Male,France,second,first,third,850,1,0,0
4,Male,France,fifth,sixth,seventh,659,1,1,0
2,Female,France,first,seventh,third,722,2,1,0
3,Male,France,second,fourth,third,563,1,0,0
1,Male,France,fourth,third,second,657,2,0,0
0,Female,France,third,sixth,fourth,535,1,1,0
10,Male,France,sixth,fourth,second,807,2,1,0
9,Male,France,second,first,second,691,1,1,0
7,Male,France,seventh,first,third,663,2,1,0
4,Female,France,first,seventh,second,583,1,1,0
10,Male,France,second,first,seventh,617,2,1,0
0,Male,France,second,fourth,seventh,662,1,0,0
2,Male,France,fifth,fifth,seventh,684,1,1,1
8,Female,France,sixth,first,third,666,1,0,0
1,Female,France,third,first,seventh,589,1,1,1
1,Female,France,seventh,fourth,second,527,1,1,0
3,Male,France,seventh,sixth,third,786,1,0,0
8,Male,France,fifth,fourth,fifth,503,1,1,0
10,Female,France,fourth,first,sixth,556,2,0,0
2,Male,France,sixth,first,second,841,2,1,0
9,Male,France,fourth,first,fifth,716,1,1,0
3,Male,France,second,first,fifth,713,2,1,0
6,Female,France,third,first,sixth,499,2,1,0
10,Female,France,fourth,first,third,850,2,1,0
7,Female,France,second,seventh,third,564,1,1,1
4,Female,France,fifth,first,sixth,773,2,1,0
2,Female,France,first,first,third,636,2,1,0
6,Female,France,second,first,first,749,2,0,0
10,Male,France,fourth,sixth,first,751,1,0,0
5,Male,France,fifth,first,sixth,745,2,0,0
4,Female,France,fifth,fourth,first,654,1,0,0
5,Male,France,first,first,seventh,785,2,1,0
3,Female,France,fourth,sixth,first,485,1,1,0
3,Male,France,third,first,fourth,678,2,1,0
5,Female,France,second,first,seventh,584,1,1,1
6,Male,France,seventh,first,third,625,2,0,0
1,Female,France,fifth,first,first,630,2,1,0
1,Female,France,fifth,seventh,sixth,613,2,1,0
1,Male,France,second,first,fourth,691,2,0,0
6,Female,France,third,first,seventh,711,2,1,0
3,Male,France,fifth,first,first,549,2,1,0
3,Female,France,fourth,seventh,fourth,748,1,0,0
2,Female,France,seventh,third,second,670,1,1,1
0,Female,France,third,third,second,594,1,1,0
9,Male,France,first,third,fourth,649,2,1,0
1,Male,France,sixth,seventh,first,612,1,1,0
4,Male,France,fifth,sixth,first,654,1,1,0
1,Female,France,seventh,fifth,sixth,731,3,0,1
9,Female,France,third,sixth,fourth,644,4,1,1
3,Male,France,seventh,first,fifth,447,4,1,1
10,Female,France,sixth,third,fourth,724,1,1,0
8,Female,France,first,first,fourth,713,1,1,0
6,Male,France,fourth,first,fourth,722,2,1,0
3,Female,France,fifth,seventh,sixth,722,1,1,1
6,Male,France,third,third,fifth,657,1,1,0
7,Female,France,fifth,sixth,fourth,658,1,0,1
7,Male,France,first,first,second,705,2,1,0
9,Female,France,third,third,fourth,667,2,1,0
8,Female,France,sixth,fifth,first,635,1,1,1
7,Female,France,seventh,first,third,627,2,0,0
7,Male,France,second,fourth,fifth,564,1,1,0
2,Female,France,fourth,first,third,493,2,0,0
2,Female,France,sixth,first,third,632,2,0,0
6,Female,France,first,seventh,fourth,803,1,1,0
8,Female,France,seventh,first,fourth,739,2,1,1
8,Male,France,third,first,fourth,414,1,0,1
2,Female,France,fourth,third,sixth,722,1,1,1
8,Female,France,sixth,first,seventh,606,2,1,0
4,Female,France,fifth,fifth,seventh,530,1,0,1
7,Female,France,third,first,seventh,655,1,1,1
0,Male,France,seventh,fifth,seventh,727,2,1,1
7,Female,France,second,first,fourth,729,2,0,0
