,tenure,gender,geography,salary_quantiles,age_quantiles,num_products,has_card
390,1,1,0,0,2,2,1
391,8,1,0,1,4,1,0
392,4,0,0,0,5,2,1
393,10,0,0,0,1,2,1
394,8,1,0,2,2,2,0
395,0,0,0,1,2,2,1
396,6,0,0,2,6,2,0
397,2,0,0,6,3,1,1
398,6,1,0,0,1,1,1
399,1,0,0,4,5,3,0
400,2,1,0,0,1,1,0
401,0,1,0,0,0,2,0
402,2,1,0,2,2,2,1
403,2,1,0,6,3,2,1
404,4,1,0,5,3,2,0
405,3,1,0,2,6,1,0
406,5,0,0,0,3,2,1
407,9,1,0,4,6,2,1
408,8,1,0,6,6,1,1
409,3,0,0,1,0,1,1
410,2,0,0,1,0,2,1
411,7,0,0,2,4,2,1
412,2,1,0,5,0,2,1
413,7,0,0,3,5,1,0
414,3,0,0,5,2,2,1
415,9,1,0,6,3,2,1
416,3,0,0,2,4,3,1
417,9,0,0,5,3,2,1
418,10,0,0,2,3,2,1
419,1,0,0,1,1,2,1
420,8,0,0,1,1,1,1
421,3,1,0,4,6,1,1
422,8,1,0,0,3,2,1
423,1,1,0,2,6,2,0
424,9,0,0,1,1,1,1
425,3,0,0,2,3,2,1
426,4,1,0,1,5,1,1
427,9,1,0,6,5,1,0
428,0,0,0,2,2,1,1
429,6,1,0,3,0,1,1
430,9,1,0,3,4,1,0
431,2,1,0,2,6,1,1
432,4,0,0,1,5,1,1
433,7,1,0,3,6,2,1
434,5,1,0,4,2,2,1
435,5,1,0,0,5,1,1
436,3,0,0,5,6,1,1
437,4,1,0,3,2,1,1
438,8,0,0,2,0,1,1
439,10,0,0,0,2,2,1
440,5,1,0,4,6,1,1
441,10,1,0,6,4,2,1
442,1,0,0,4,0,2,1
443,5,1,0,3,4,1,1
444,8,0,0,4,2,1,1
445,7,1,0,6,2,2,1
446,4,0,0,2,6,1,1
447,9,0,0,5,5,1,1
448,5,0,0,6,1,2,0
449,9,1,0,3,3,1,1
450,2,1,0,1,3,1,1
451,9,1,0,2,5,2,1
452,10,0,0,4,6,2,1
453,6,1,0,1,5,1,0
454,0,0,0,6,6,2,0
455,4,0,0,1,2,2,1
456,5,1,0,2,2,2,1
457,9,0,0,3,1,2,1
458,7,0,0,6,6,2,1
459,8,1,0,2,0,1,1
460,3,1,0,5,3,2,1
461,3,0,0,6,6,2,0
462,1,0,0,3,5,2,1
463,10,1,0,3,1,2,0
464,9,1,0,1,3,2,1
465,6,1,0,2,0,2,0
466,2,1,0,3,5,1,1
467,8,0,0,6,6,1,1
468,7,1,0,3,0,2,0
469,7,1,0,6,1,2,1
470,9,1,0,6,2,1,1
471,4,1,0,5,2,2,0
472,4,1,0,0,1,2,1
473,2,1,0,1,6,2,1
474,3,1,0,5,6,1,1
475,5,0,0,3,6,2,1
476,9,1,0,3,1,2,0
477,5,1,0,2,3,2,1
478,4,1,0,4,5,1,1
479,2,0,0,3,4,2,0
480,0,1,0,5,2,1,0
481,9,0,0,6,6,1,1
482,1,0,0,0,2,1,1
483,5,0,0,6,2,2,1
484,8,0,0,0,3,1,0
485,5,0,0,6,2,1,1
486,4,0,0,5,2,2,0
487,4,1,0,1,4,2,1
488,1,1,0,0,0,1,1
489,0,1,0,5,1,2,0
490,4,1,0,4,2,2,0
491,3,1,0,6,4,2,1
492,3,0,0,6,5,1,1
493,6,1,0,1,1,2,1
494,4,0,0,0,5,2,0
495,2,1,0,6,1,1,1
496,5,1,0,3,3,1,1
497,9,1,0,1,6,2,1
498,5,0,0,0,0,1,1
499,5,1,0,2,3,1,1
500,3,0,0,0,4,1,0
501,8,1,0,6,4,1,1
502,4,0,0,3,1,1,0
503,4,1,0,3,6,1,1
504,9,1,0,3,3,1,1
505,9,0,0,0,1,1,1
506,7,0,0,6,0,2,0
507,1,1,0,1,5,1,1
508,7,1,0,3,1,1,1
509,10,0,0,1,2,1,1
510,0,1,0,6,2,1,1
511,5,0,0,2,4,1,1
512,6,0,0,2,5,2,0
513,10,0,0,4,1,2,0
514,2,1,0,6,2,2,1
515,7,0,0,3,6,1,0
516,7,0,0,2,3,2,1
517,2,1,0,5,0,2,1
518,10,0,0,2,0,2,1
519,7,0,0,5,0,2,0
520,4,1,0,4,2,2,1
521,5,1,0,2,6,2,1
522,5,0,0,4,4,1,0
523,9,1,0,4,2,2,1
524,6,0,0,1,6,2,1
525,9,0,0,2,5,1,1
526,0,0,0,5,5,2,0
527,7,0,0,0,5,4,0
528,1,1,0,0,1,1,0
529,9,0,0,2,1,2,0
530,4,0,0,1,6,1,1
531,6,1,0,5,1,1,1
532,7,1,0,4,3,4,0
533,8,1,0,5,4,2,1
534,2,0,0,2,3,2,1
535,3,0,0,3,1,1,0
536,8,1,0,0,2,2,1
537,9,1,0,5,3,2,1
538,1,1,0,6,3,2,1
539,5,0,0,4,1,2,0
540,4,1,0,5,3,2,1
541,5,1,0,2,2,1,1
542,3,0,0,0,2,1,1
543,9,0,0,5,1,2,1
544,4,1,0,3,1,2,0
545,2,0,0,3,1,1,0
546,7,0,0,1,6,1,0
547,7,0,0,1,2,2,1
548,8,1,0,3,4,1,1
549,8,1,0,2,2,1,1
550,7,1,0,3,6,2,0
551,9,1,0,3,3,1,1
552,9,1,0,1,5,2,0
553,9,0,0,5,5,1,1
554,3,0,0,1,3,2,1
555,1,0,0,5,2,2,0
556,4,0,0,0,6,2,0
557,6,1,0,4,1,1,0
558,4,1,0,5,5,1,1
559,8,0,0,3,1,1,1
560,0,0,0,4,4,2,1
561,6,0,0,3,3,1,1
562,2,0,0,5,1,1,1
563,3,0,0,0,6,3,1
564,6,0,0,6,6,1,1
565,1,0,0,6,1,2,0
566,6,0,0,1,3,1,1
567,6,1,0,3,3,2,0
568,6,1,0,2,2,1,1
569,2,1,0,2,1,1,1
570,7,0,0,2,2,2,0
571,1,1,0,6,0,2,1
572,3,0,0,3,6,2,1
573,7,1,0,4,3,1,1
574,4,1,0,5,4,1,0
575,3,1,0,0,6,1,0
576,2,0,0,1,6,2,0
577,5,1,0,4,3,1,1
578,3,1,0,1,3,1,1
579,4,1,0,3,1,1,1
580,4,0,0,1,3,1,1
581,5,0,0,6,2,1,1
582,4,0,0,1,4,1,1
583,8,1,0,3,3,1,1
584,3,1,0,5,2,1,0
585,3,0,0,2,4,1,0
586,9,0,0,3,3,1,1
587,1,0,0,3,6,2,1
588,6,1,0,5,5,1,1
589,8,1,0,0,6,1,1
590,10,1,0,1,4,1,0
591,3,0,0,2,0,1,1
592,3,0,0,3,4,2,1
593,9,1,0,2,3,2,1
594,1,0,0,2,5,1,1
595,4,1,0,5,3,1,0
596,9,1,0,0,1,1,1
597,2,1,0,4,3,2,1
598,1,0,0,0,3,1,0
599,7,1,0,6,1,2,1
600,4,1,0,1,5,1,0
601,9,1,0,1,3,1,1
602,9,1,0,6,6,1,1
603,5,1,0,0,2,2,1
604,2,0,0,3,3,2,1
605,10,0,0,3,3,2,1
606,8,1,0,3,1,1,1
607,2,1,0,0,0,2,1
608,1,1,0,2,5,1,0
609,9,0,0,5,2,1,1
610,3,1,0,4,2,1,0
611,2,1,0,2,6,2,1
612,1,1,0,2,5,1,0
613,3,0,0,1,5,1,0
614,2,0,0,6,2,2,1
615,3,0,0,5,1,1,1
616,8,0,0,0,3,1,1
617,1,1,0,3,0,2,0
618,7,1,0,2,1,2,1
619,1,0,0,4,1,1,0
620,8,0,0,2,4,2,1
621,7,1,0,3,2,2,1
622,10,1,0,2,6,2,0
623,9,0,0,5,4,3,1
624,2,1,0,4,5,2,1
625,2,1,0,5,2,1,1
626,1,0,0,5,0,2,0
627,0,0,0,4,6,2,1
628,7,0,0,0,0,2,1
629,6,1,0,5,5,3,1
630,9,0,0,3,5,1,1
631,2,1,0,2,6,1,1
632,1,1,0,0,1,1,1
633,4,1,0,3,6,2,1
634,9,0,0,2,0,1,1
635,4,1,0,2,0,1,1
636,5,0,0,0,6,2,1
637,3,0,0,6,1,1,1
638,3,0,0,4,1,2,1
639,4,0,0,6,1,2,0
640,7,0,0,4,1,2,1
641,9,0,0,6,2,2,1
642,5,0,0,2,1,1,0
643,8,0,0,4,6,2,1
644,1,0,0,2,5,1,1
645,6,0,0,0,6,1,0
646,4,0,0,5,5,2,1
647,3,0,0,6,3,1,1
648,8,0,0,2,5,1,1
649,2,0,0,3,3,2,1
650,2,0,0,2,3,2,1
651,0,0,0,3,2,2,0
652,9,0,0,6,2,1,1
653,5,1,0,3,6,1,1
654,3,1,0,6,3,1,1
655,3,0,0,6,4,1,1
656,5,1,0,1,1,1,1
657,2,1,0,6,0,1,0
658,7,1,0,1,6,2,1
659,9,0,0,2,3,2,1
660,3,0,0,5,5,1,1
661,6,0,0,6,4,1,1
662,7,1,0,5,6,1,1
663,8,0,0,2,6,1,1
664,9,1,0,6,3,2,0
665,2,0,0,6,3,1,1
666,8,1,0,4,1,2,1
667,3,0,0,5,2,1,0
668,8,1,0,4,5,1,1
669,6,0,0,0,6,1,0
670,5,0,0,6,6,2,1
671,2,0,0,0,3,2,1
672,5,0,0,6,2,1,1
673,10,1,0,0,3,1,1
674,4,0,0,2,3,2,0
675,5,0,0,4,2,2,1
676,6,1,0,0,4,1,0
677,4,1,0,0,4,1,1
678,7,1,0,2,1,2,1
679,6,1,0,3,4,1,1
680,5,0,0,2,0,2,1
681,3,0,0,1,5,1,0
682,5,1,0,0,5,2,0
683,7,0,0,5,2,1,1
684,6,1,0,1,2,1,1
685,3,1,0,1,5,1,0
686,5,1,0,0,6,2,1
687,3,1,0,2,2,2,0
688,2,0,0,5,6,1,0
689,3,0,0,4,4,1,1
690,6,0,0,6,3,2,1
691,0,1,0,5,3,2,0
692,4,1,0,1,0,1,0
693,4,1,0,0,4,2,1
694,2,0,0,0,1,1,1
695,5,0,0,6,0,1,0
696,4,1,0,5,1,1,1
697,5,0,0,4,0,1,1
698,1,1,0,2,6,2,1
699,10,1,0,6,1,1,1
700,6,0,0,3,1,1,1
701,7,0,0,3,5,2,1
702,3,1,0,6,2,1,0
703,4,1,0,0,2,2,1
704,2,0,0,5,3,1,0
705,1,1,0,0,1,1,0
706,10,1,0,4,3,2,0
707,5,1,0,6,3,2,0
708,6,0,0,6,4,3,0
709,0,0,0,6,2,1,1
710,6,0,0,1,2,1,1
711,2,0,0,0,2,1,1
712,7,0,0,6,3,2,1
713,6,1,0,5,3,2,1
714,6,1,0,0,3,1,1
715,8,1,0,2,1,2,1
716,4,1,0,6,4,2,0
717,2,1,0,3,6,2,1
718,4,1,0,4,1,1,1
719,2,0,0,3,2,2,0
720,1,1,0,0,3,1,1
721,3,1,0,4,1,2,0
722,8,1,0,1,2,2,1
723,4,0,0,4,1,2,1
724,7,0,0,0,3,1,1
725,7,1,0,5,1,2,1
726,1,0,0,5,2,1,1
727,8,0,0,5,3,2,1
728,1,1,0,6,1,2,1
729,5,1,0,0,6,1,0
730,10,0,0,0,4,2,0
731,10,1,0,0,3,1,0
732,8,0,0,1,2,1,1
733,9,0,0,6,5,1,1
734,7,1,0,5,5,2,1
735,5,1,0,5,6,1,0
736,4,1,0,2,6,1,1
737,3,0,0,5,5,1,1
738,5,1,0,1,3,1,1
739,2,0,0,3,0,1,1
740,3,1,0,1,4,1,1
741,1,0,0,5,3,1,1
742,7,1,0,1,1,2,1
743,9,0,0,6,1,2,0
744,2,1,0,3,2,2,1
745,2,1,0,3,6,2,0
746,2,0,0,1,0,1,1
747,1,1,0,4,2,1,1
748,10,1,0,2,2,1,1
749,2,0,0,0,4,4,1
750,7,1,0,0,4,1,0
751,7,1,0,0,2,2,1
752,6,0,0,3,6,2,0
753,8,0,0,3,0,1,1
754,5,1,0,0,4,2,1
755,4,0,0,3,3,1,1
756,2,1,0,0,4,1,1
757,10,0,0,4,4,1,1
758,4,1,0,5,3,2,1
759,6,0,0,0,6,1,1
760,8,0,0,3,1,1,1
761,9,1,0,2,1,2,0
762,9,1,0,2,2,2,0
763,7,1,0,4,5,1,1
764,2,0,0,6,3,2,1
765,7,0,0,1,1,2,0
766,3,1,0,6,6,2,1
767,3,0,0,5,0,2,1
768,9,1,0,4,2,1,1
769,4,0,0,3,6,1,1
770,6,0,0,6,5,1,1
771,2,0,0,2,3,2,0
772,7,0,0,5,2,1,0
773,9,0,0,1,3,2,1
774,3,1,0,4,6,1,1
775,9,0,0,0,5,1,0
776,8,1,0,4,3,1,1
777,9,1,0,1,4,1,1
778,6,1,0,1,2,3,1
779,7,0,0,2,1,2,1
780,7,1,0,0,6,2,0
781,3,1,0,0,6,2,1
782,2,1,0,2,3,1,0
783,9,1,0,1,0,2,1
784,7,0,0,2,1,1,0
785,9,1,0,0,4,1,1
786,6,0,0,1,2,1,1
787,2,0,0,1,4,1,1
788,3,0,0,6,0,2,1
789,5,0,0,0,6,1,0
790,2,1,0,6,3,2,0
791,4,0,0,0,1,2,1
792,9,1,0,1,2,2,1
793,0,0,0,1,3,1,1
794,1,1,0,6,4,1,1
795,4,0,0,4,1,2,1
796,7,1,0,0,1,2,1
797,8,0,0,5,6,1,1
798,5,1,0,6,3,2,1
799,1,0,0,2,5,1,1
800,1,1,0,5,5,3,1
801,0,1,0,6,4,1,1
802,4,1,0,6,0,3,1
803,3,0,0,4,1,1,1
804,8,0,0,0,5,2,1
805,7,1,0,2,6,1,1
806,10,1,0,0,1,1,1
807,9,1,0,3,6,2,1
808,5,1,0,5,3,2,1
809,3,1,0,0,1,2,1
810,2,1,0,1,1,1,1
811,7,0,0,3,3,2,0
812,8,1,0,6,2,1,1
813,7,1,0,0,1,1,1
814,4,1,0,6,3,2,1
815,3,0,0,0,3,1,1
816,6,0,0,6,5,1,0
817,6,1,0,1,2,1,1
818,5,0,0,1,0,1,1
819,2,0,0,3,5,2,1
820,9,0,0,6,4,2,1
821,5,1,0,6,1,2,1
822,5,0,0,1,1,2,0
823,2,0,0,6,5,3,1
824,9,0,0,4,5,1,1
825,9,1,0,0,3,2,1
826,6,1,0,6,3,2,1
827,4,1,0,3,6,2,1
828,6,1,0,4,2,1,1
829,5,1,0,6,0,1,1
830,4,0,0,5,4,1,1
831,5,0,0,1,4,1,1
832,9,1,0,3,1,2,1
833,9,0,0,6,3,2,0
834,1,0,0,1,3,2,0
835,5,1,0,5,0,2,1
836,5,1,0,6,2,2,1
837,5,0,0,0,0,2,1
838,2,0,0,4,3,1,1
839,9,0,0,3,2,1,1
840,4,0,0,1,1,2,1
841,9,1,0,0,6,2,0
842,9,0,0,3,1,2,1
843,4,1,0,4,6,1,1
844,0,0,0,6,6,1,1
845,6,1,0,4,2,1,1
846,8,1,0,3,2,2,1
847,3,1,0,5,2,2,1
848,8,0,0,1,3,1,1
849,1,0,0,6,3,1,1
850,8,1,0,2,5,1,1
851,3,1,0,5,4,1,1
852,9,1,0,5,2,3,1
853,10,0,0,0,1,2,1
854,10,1,0,1,6,1,1
855,6,1,0,2,2,1,0
856,5,0,0,0,0,2,0
857,2,1,0,6,2,1,0
858,4,1,0,1,0,2,1
859,7,1,0,2,0,1,0
860,9,1,0,6,4,3,1
861,6,1,0,4,3,1,1
862,2,1,0,1,3,2,1
863,9,0,0,2,4,1,1
864,8,1,0,4,0,3,1
865,9,0,0,0,1,2,1
866,1,0,0,6,2,2,1
867,9,1,0,2,4,1,1
868,5,1,0,4,6,1,1
869,2,0,0,5,6,2,0
