,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
8403,844,France,Female,28,4,0.0,2,0,1,123318.37
1517,744,France,Male,54,6,93806.31,2,0,1,140068.77
4505,709,France,Female,30,5,0.0,2,0,1,161388.22
8578,495,France,Male,47,10,137682.68,1,1,0,71071.47
300,694,France,Female,31,10,0.0,2,1,0,160990.27
8109,661,France,Female,34,0,0.0,2,1,0,185555.63
6326,555,France,Male,31,8,145875.74,1,1,0,137491.23
4358,483,France,Male,48,1,0.0,2,1,1,110059.38
6987,532,France,Male,60,5,76705.87,2,0,1,13889.73
8673,765,France,Female,56,1,0.0,1,1,0,13228.93
4229,592,France,Female,34,9,0.0,2,1,1,20460.2
8215,687,France,Female,61,7,80538.56,1,1,0,131305.37
1776,622,France,Male,38,5,0.0,2,0,0,105295.77
9269,642,France,Male,35,4,125476.31,1,1,1,91775.51
2048,567,France,Female,35,5,166118.45,2,1,0,127827.18
4322,508,France,Male,31,8,72541.48,1,1,0,129803.08
1097,543,France,Male,36,6,0.0,2,1,0,176728.28
327,644,France,Female,46,9,95441.27,1,1,0,108761.05
7197,707,France,Female,42,10,0.0,2,1,1,152944.39
9291,636,France,Male,36,5,117559.05,2,1,1,111573.3
606,699,France,Male,53,4,0.0,2,0,1,111307.98
4907,523,France,Male,34,2,161588.89,1,1,1,51358.66
9522,418,France,Male,35,7,0.0,2,1,1,88878.15
7045,850,France,Female,36,6,0.0,2,1,1,190194.95
3278,640,France,Male,44,7,111833.47,1,1,0,67202.74
8510,550,France,Female,40,8,150490.32,1,0,0,166468.21
8283,664,France,Male,57,1,0.0,2,1,1,56562.57
5504,786,France,Male,32,2,120452.4,2,0,0,79602.86
3998,639,France,Female,60,5,162039.78,1,1,1,84361.72
1064,723,France,Female,20,4,0.0,2,1,1,140385.33
5667,672,France,Female,34,8,0.0,2,1,1,16245.25
7666,494,France,Male,25,6,0.0,2,0,1,109988.09
312,642,France,Male,38,3,0.0,2,0,0,171463.83
7192,709,France,Male,44,9,128601.98,1,1,0,117031.2
7052,605,France,Female,32,5,0.0,2,1,1,42135.28
9504,560,France,Female,44,5,143244.97,1,1,0,98661.27
3205,850,France,Female,42,8,0.0,1,1,0,19632.64
505,584,France,Male,31,5,0.0,2,1,0,31474.27
6578,850,France,Female,28,9,0.0,2,1,0,185821.41
6850,551,France,Male,42,1,50194.59,1,1,1,23399.58
5915,679,France,Male,47,10,198546.1,2,1,0,191198.92
1089,628,France,Female,51,3,123981.31,2,1,1,40546.15
6477,549,France,Female,34,4,0.0,2,0,0,139463.57
133,686,France,Male,25,1,0.0,2,0,1,16459.37
8685,772,France,Male,43,6,0.0,2,1,1,57675.88
684,583,France,Male,24,9,135125.28,1,0,0,89801.9
9139,597,France,Female,29,5,0.0,2,1,1,174825.57
9699,763,France,Female,23,2,0.0,2,1,0,153983.99
8969,562,France,Female,51,7,122822.0,2,0,0,32626.21
4036,551,France,Male,42,2,139561.46,1,1,0,43435.43
6848,579,France,Female,33,1,65667.79,2,0,0,164608.98
844,640,France,Male,44,3,137148.68,1,1,0,92381.01
3301,653,France,Male,34,5,118838.75,1,1,1,52820.13
1732,735,France,Male,49,5,121973.28,1,1,0,148804.36
4922,702,France,Male,26,5,56738.47,2,1,1,100442.22
3179,552,France,Female,34,5,0.0,2,1,1,1351.41
7571,718,France,Male,52,8,79475.3,3,1,1,32421.32
2370,479,France,Female,35,2,113090.4,1,1,0,195649.79
1987,738,France,Male,54,4,0.0,1,0,1,55725.04
9547,626,France,Female,34,3,0.0,2,1,1,37870.29
1390,653,France,Female,27,9,0.0,2,1,0,96429.29
5410,623,France,Female,28,4,0.0,2,1,0,41227.67
6335,507,France,Female,35,1,0.0,2,0,0,92131.54
4639,789,France,Female,27,8,66201.96,1,1,1,79458.12
3201,722,France,Male,20,6,0.0,2,1,0,195486.28
5422,607,France,Female,31,1,102523.88,1,1,1,166792.71
9276,435,France,Male,54,3,0.0,1,1,0,156910.46
2364,707,France,Female,31,2,82787.93,2,0,0,91423.69
6759,705,France,Male,92,1,126076.24,2,1,1,34436.83
4625,510,France,Female,45,10,103821.47,2,0,1,77878.62
1178,552,France,Male,49,4,0.0,1,1,1,190296.76
9829,584,France,Male,38,1,115341.55,1,0,1,173632.92
7009,672,France,Female,28,6,0.0,1,0,1,8814.69
2621,551,France,Female,36,5,0.0,1,1,0,183479.12
296,714,France,Female,31,4,125169.26,1,1,1,106636.89
1729,637,France,Male,33,0,132255.99,2,0,1,74588.41
578,593,France,Female,41,6,0.0,1,1,0,65170.66
8695,775,France,Male,31,9,0.0,2,1,0,169278.51
7285,679,France,Male,29,3,0.0,2,1,1,63687.06
2051,712,France,Female,37,1,106881.5,2,0,0,169386.81
1893,488,France,Male,34,3,0.0,2,1,1,125979.36
991,615,France,Female,35,2,97440.02,2,1,1,139816.1
2287,556,France,Male,26,4,0.0,1,1,0,195167.38
4915,710,France,Male,45,1,0.0,2,1,1,36154.66
8044,835,France,Male,23,9,0.0,1,1,0,19793.73
4066,823,France,Female,44,1,0.0,2,0,1,182495.7
162,800,France,Female,49,7,108007.36,1,0,0,47125.11
6671,677,France,Female,49,3,0.0,2,1,1,187811.71
4603,623,France,Male,23,1,106012.2,2,0,1,191415.94
1256,733,France,Male,42,9,120094.93,1,1,0,184056.45
8140,605,France,Female,36,6,0.0,1,0,1,690.84
130,758,France,Female,34,3,0.0,2,1,1,124226.16
2934,631,France,Male,33,7,0.0,1,1,1,58043.02
6490,760,France,Male,34,2,0.0,2,1,0,164162.44
5493,680,France,Male,31,9,0.0,2,1,0,36145.53
9749,533,France,Female,35,8,0.0,2,1,1,187900.12
7628,850,France,Male,28,8,99986.98,1,1,0,196582.55
3600,506,France,Female,57,6,0.0,2,0,1,194421.12
1341,794,France,Female,41,7,176845.41,3,1,0,166526.26
1858,705,France,Male,61,4,0.0,2,1,1,191313.7
3954,729,France,Female,34,9,132121.71,1,0,1,105409.31
2249,762,France,Male,35,9,0.0,2,1,1,43075.7
4843,654,France,Male,29,2,91955.61,1,1,0,37065.66
8581,585,France,Female,43,2,0.0,2,1,0,89402.54
9342,619,France,Female,28,3,0.0,2,1,0,53394.12
9076,666,France,Female,27,1,85225.21,1,0,1,64511.44
1357,591,France,Male,43,3,0.0,2,0,1,198926.36
4983,543,France,Male,30,4,140916.81,1,1,0,157711.18
4328,581,France,Female,55,6,0.0,1,1,1,22442.13
4268,753,France,Male,46,8,0.0,3,1,0,90747.94
474,571,France,Female,33,1,0.0,2,1,0,102750.7
4580,478,France,Female,32,6,71187.24,1,1,1,110593.62
7691,568,France,Female,38,3,132951.92,1,0,1,124486.28
4040,701,France,Male,37,8,107798.85,1,1,0,16966.73
1890,731,France,Male,33,4,0.0,2,1,1,74945.11
5119,700,France,Male,37,3,77608.46,2,1,1,175373.46
7545,732,France,Male,26,7,0.0,2,1,0,154364.66
7870,529,France,Female,29,8,0.0,2,1,0,19842.11
8387,699,France,Male,44,8,158697.61,1,1,0,107181.22
8176,702,France,Male,40,3,148556.74,1,0,1,146056.29
2910,596,France,Male,33,2,139451.67,1,0,0,63142.12
9354,590,France,Male,43,8,0.0,2,1,1,143628.31
84,493,France,Female,46,4,0.0,2,1,0,1907.66
8386,708,France,Male,41,0,0.0,1,1,0,128400.62
3405,694,France,Male,60,9,0.0,1,1,1,57088.97
3126,656,France,Male,43,7,134919.85,1,1,0,194691.95
1654,446,France,Male,32,8,0.0,2,0,0,133292.94
6186,618,France,Male,37,5,0.0,1,0,1,178705.45
9613,635,France,Male,33,1,0.0,3,0,0,178067.33
4590,635,France,Female,78,6,47536.4,1,1,1,119400.08
1010,724,France,Male,40,10,0.0,1,1,0,127847.25
5910,481,France,Female,39,6,0.0,1,1,1,24677.54
5514,641,France,Male,65,6,38340.02,1,1,0,32607.77
6624,565,France,Male,46,7,135369.71,1,0,1,140130.22
4707,511,France,Male,27,8,0.0,2,1,1,49089.36
3027,774,France,Female,42,3,137781.65,1,0,0,199316.19
8803,721,France,Male,41,6,135071.12,1,1,1,64477.25
4154,726,France,Male,34,3,0.0,2,1,0,196288.46
6849,716,France,Female,44,1,0.0,1,1,1,152108.47
3069,666,France,Male,43,7,137780.74,2,1,1,119100.05
5906,788,France,Male,32,4,112079.58,1,0,0,89368.59
3797,839,France,Female,51,3,0.0,1,1,1,69101.23
304,553,France,Male,33,4,118082.89,1,0,0,94440.45
1865,760,France,Female,32,7,0.0,2,1,1,105969.05
5730,539,France,Female,29,4,0.0,2,1,1,100919.19
878,574,France,Female,33,3,134348.57,1,1,0,63163.99
944,745,France,Male,36,8,67226.37,1,1,0,130789.6
3472,594,France,Male,40,9,122417.17,2,0,1,190882.69
6923,806,France,Male,34,5,113958.55,1,0,1,32125.98
3650,537,France,Male,38,3,0.0,2,0,0,141023.01
4858,779,France,Female,41,10,99786.2,1,1,0,86927.53
4721,757,France,Female,44,4,123322.15,1,1,0,137136.29
306,731,France,Male,43,2,0.0,1,1,1,170034.95
695,664,France,Male,57,6,0.0,2,1,1,15304.08
8318,520,France,Female,39,6,145644.05,1,0,0,104118.93
9163,608,France,Female,47,6,0.0,1,1,1,126012.57
579,701,France,Male,39,2,0.0,2,1,1,82526.92
8683,697,France,Female,49,7,195238.29,4,0,1,131083.56
2668,524,France,Male,52,2,87894.26,1,1,0,173899.42
3451,607,France,Female,21,0,0.0,2,1,0,116106.52
9412,725,France,Male,26,6,98684.15,1,0,0,133720.57
6696,567,France,Female,48,3,0.0,1,1,0,55362.45
2768,669,France,Male,26,4,0.0,2,1,1,197594.34
1477,776,France,Male,37,2,0.0,1,0,1,8065.0
5941,612,France,Female,33,0,64900.32,2,1,0,102426.12
9232,618,France,Female,49,9,44301.43,3,1,1,89729.3
4657,687,France,Male,48,4,0.0,2,1,1,170893.85
3413,605,France,Male,39,3,0.0,2,1,0,199390.45
8718,589,France,Male,37,7,85146.48,2,1,0,86490.09
9259,800,France,Female,40,3,75893.11,2,1,0,132562.23
144,691,France,Female,31,5,40915.55,1,1,0,126213.84
4482,653,France,Female,42,1,0.0,2,1,1,5768.32
3173,485,France,Female,27,3,0.0,2,1,0,141449.86
1992,613,France,Female,29,6,185709.28,2,1,1,77242.19
9539,659,France,Male,29,6,123192.12,1,1,1,56971.41
2672,724,France,Male,34,2,154485.74,2,0,0,78560.64
3851,631,France,Male,26,1,149144.61,1,0,1,123697.95
8857,624,France,Male,36,6,0.0,2,0,0,84749.96
7563,609,France,Male,53,7,0.0,2,0,1,52332.85
7848,433,France,Female,49,10,0.0,1,1,1,87711.61
7550,688,France,Female,38,7,123544.21,1,1,1,157664.02
4104,850,France,Male,55,6,0.0,1,1,0,944.41
5968,526,France,Male,28,1,112070.44,1,0,1,126281.83
1653,500,France,Male,56,1,100374.58,1,1,0,118490.8
2701,649,France,Female,31,2,0.0,2,1,0,15200.61
9871,633,France,Female,34,3,123034.43,2,1,1,38315.04
2426,793,France,Female,41,3,141806.46,1,1,0,102921.17
6372,635,France,Female,47,2,125724.95,2,1,0,63236.97
5785,753,France,Male,48,4,0.0,2,0,1,146821.42
1888,429,France,Male,60,7,0.0,2,1,1,163691.48
1008,444,France,Male,45,6,0.0,1,1,0,130009.85
8262,737,France,Female,33,4,0.0,2,1,0,115115.32
132,687,France,Male,38,9,122570.87,1,1,1,35608.88
710,540,France,Male,48,0,148116.48,1,0,0,116973.48
8009,574,France,Male,34,1,112572.39,1,0,0,165626.6
737,525,France,Male,36,2,114628.4,1,0,1,168290.06
2571,680,France,Male,44,7,108724.98,1,0,1,72330.46
4467,538,France,Male,31,1,0.0,2,1,0,1375.46
8574,717,France,Female,59,4,0.0,2,1,1,170528.63
2379,624,France,Male,26,9,74681.9,2,0,0,31231.35
6539,697,France,Female,45,1,0.0,2,1,0,46807.62
9061,567,France,Female,38,1,125877.65,2,1,1,107841.77
2001,661,France,Female,27,3,0.0,2,1,1,76889.79
9305,662,France,Female,39,5,139562.05,2,1,0,61636.22
7376,704,France,Male,23,6,166594.78,1,1,1,155823.2
546,587,France,Male,38,0,0.0,2,1,0,47414.15
6548,683,France,Male,38,7,109346.13,2,1,0,102665.92
970,638,France,Female,48,10,138333.03,1,1,1,47679.14
1539,558,France,Male,38,8,113000.92,1,1,1,152872.39
499,570,France,Female,58,8,0.0,1,0,1,116503.92
901,643,France,Male,36,7,161064.64,2,0,1,84294.82
5697,567,France,Male,39,5,0.0,2,0,0,168521.72
7415,812,France,Male,29,6,0.0,2,0,0,168023.6
1644,663,France,Female,37,7,0.0,1,1,1,185210.63
727,711,France,Female,25,7,0.0,3,1,1,9679.28
4389,660,France,Male,30,7,146301.31,1,0,0,96847.91
5951,721,France,Male,41,7,0.0,2,0,1,61018.85
1292,794,France,Female,41,7,0.0,2,1,1,74275.08
4243,768,France,Female,26,5,51116.26,1,1,1,70454.79
8928,623,France,Female,29,1,0.0,2,0,0,39382.06
1633,562,France,Male,35,7,0.0,1,0,0,48869.67
2487,710,France,Female,32,3,0.0,1,1,0,94790.34
5717,665,France,Female,37,5,160389.82,1,0,1,183542.08
4754,708,France,Female,59,2,0.0,1,1,0,179673.11
5871,479,France,Female,33,2,208165.53,1,0,0,50774.81
8007,647,France,Male,41,4,138937.35,1,1,1,101617.64
1136,750,France,Male,22,5,0.0,2,0,1,105125.65
7632,736,France,Male,43,4,202443.47,1,1,0,72375.03
4927,641,France,Female,40,9,0.0,1,0,0,151648.66
4398,743,France,Female,39,8,0.0,1,1,0,94263.44
7198,670,France,Male,33,6,88294.6,1,1,0,66979.06
9828,576,France,Male,39,1,0.0,2,1,1,68814.23
4558,792,France,Male,34,1,0.0,1,0,1,86330.32
6300,614,France,Female,41,3,123475.04,1,1,1,179227.52
5406,516,France,Female,47,6,109387.33,1,0,0,121365.45
7801,678,France,Male,54,7,128914.97,1,0,0,191746.23
3227,691,France,Male,26,9,136623.19,1,1,0,153228.0
5137,698,France,Female,51,6,144237.91,4,1,0,157143.61
6612,502,France,Female,64,3,139663.37,1,0,1,100995.11
9151,614,France,Male,49,1,0.0,2,1,0,192440.54
3624,640,France,Female,33,1,167298.42,1,0,1,145381.65
9336,695,France,Male,49,9,159458.53,1,1,0,135841.35
8317,666,France,Female,27,4,0.0,2,0,0,88751.45
1879,579,France,Male,31,9,0.0,1,0,1,139048.0
4376,614,France,Female,34,5,0.0,2,1,0,185561.89
7058,624,France,Female,71,4,170252.05,3,1,1,73679.59
9586,546,France,Female,20,6,0.0,1,0,1,20508.85
1443,556,France,Female,43,6,0.0,3,0,0,125154.57
5932,556,France,Female,47,2,139914.27,1,1,1,50390.98
2715,649,France,Male,38,1,122214.0,1,0,1,88965.46
4330,781,France,Female,19,3,0.0,2,1,1,124297.32
8873,610,France,Male,34,0,103108.17,1,0,0,125646.82
6191,592,France,Male,27,3,0.0,2,1,1,19645.65
1025,582,France,Female,32,4,0.0,2,1,0,59668.81
9421,613,France,Male,34,5,144094.2,1,1,0,44510.26
7286,680,France,Female,43,4,0.0,2,1,1,58761.33
9279,727,France,Male,62,5,0.0,2,0,1,38652.96
5234,678,France,Female,41,1,143443.61,1,1,0,196622.28
3343,474,France,Male,37,3,98431.37,1,0,0,75698.44
5198,604,France,Male,40,1,84315.02,1,0,0,36209.1
2522,558,France,Male,35,1,0.0,2,0,0,111687.57
4299,615,France,Male,30,8,0.0,2,0,0,3183.15
4863,464,France,Female,33,10,147493.7,2,1,0,100447.53
9241,509,France,Male,35,8,0.0,2,0,1,67431.28
6712,599,France,Female,43,4,0.0,1,1,0,170347.1
9280,674,France,Female,45,6,72494.69,1,0,1,140041.78
854,675,France,Female,57,8,0.0,2,0,1,95463.29
722,669,France,Male,23,1,0.0,2,0,0,66088.83
4381,492,France,Male,39,7,0.0,2,0,1,71323.23
5757,681,France,Male,32,3,148884.47,2,1,1,90967.37
3432,790,France,Male,26,5,0.0,1,1,0,20510.79
6208,714,France,Male,34,10,0.0,2,1,1,80234.14
4214,686,France,Male,26,7,0.0,2,1,0,1540.89
7072,686,France,Male,37,9,134560.62,1,1,0,27596.39
5731,674,France,Male,45,7,144889.18,1,1,1,102591.9
1937,701,France,Male,30,3,156660.72,2,1,0,45742.42
1503,710,France,Male,47,5,158623.14,1,0,0,83499.89
100,665,France,Female,40,6,0.0,1,1,1,161848.03
6029,659,France,Female,44,9,23503.31,1,0,1,169862.01
1050,682,France,Male,30,4,0.0,1,0,1,161465.31
9641,680,France,Male,34,9,0.0,2,1,1,95686.6
5519,678,France,Male,43,1,133237.21,1,1,0,111032.79
7514,699,France,Male,64,9,113109.52,1,1,0,27980.8
9541,603,France,Male,38,8,59360.77,1,1,1,191457.06
3009,551,France,Male,31,1,0.0,2,1,1,185105.44
6982,753,France,Female,50,4,0.0,2,1,1,861.4
2053,850,France,Male,63,8,169832.57,1,0,0,184107.26
1473,552,France,Male,36,8,0.0,2,0,0,132547.02
7790,674,France,Male,22,3,0.0,1,1,1,173940.59
3403,624,France,Female,62,7,125163.62,2,1,1,151411.5
6804,692,France,Female,30,7,0.0,2,1,1,18826.34
7086,554,France,Female,38,3,138731.95,1,1,1,194138.36
950,635,France,Female,48,8,130796.33,2,1,1,43250.3
5625,508,France,Female,60,7,143262.04,1,1,1,129562.74
7831,749,France,Male,42,2,56726.83,2,0,1,185543.35
2959,530,France,Male,25,9,162560.32,1,1,0,64129.03
3190,585,France,Female,28,6,105795.9,1,1,1,41219.09
8689,542,France,Male,67,10,129431.36,1,0,1,21343.74
7916,562,France,Male,33,6,0.0,2,1,0,111590.35
1741,747,France,Female,25,4,0.0,2,0,1,42039.67
2770,676,France,Female,32,5,0.0,2,1,1,75465.41
1150,700,France,Female,27,6,137963.07,1,0,0,8996.79
2245,625,France,Female,58,10,53772.73,1,1,1,192072.1
7387,696,France,Male,44,8,161889.79,1,0,0,75562.47
5547,688,France,Male,38,7,148045.68,1,1,0,175479.92
2141,674,France,Male,18,7,0.0,2,1,1,55753.12
341,659,France,Male,31,4,118342.26,1,0,0,161574.19
2044,487,France,Male,45,2,0.0,2,1,0,77475.73
2133,688,France,Female,32,6,123157.95,1,1,0,172531.23
4848,635,France,Male,42,1,146766.72,2,0,1,164357.1
6158,671,France,Male,31,0,116234.61,1,1,0,172096.08
7614,749,France,Male,37,7,0.0,2,1,0,20306.79
6701,653,France,Male,37,7,135847.47,1,1,0,144880.81
4269,748,France,Male,44,4,112610.77,1,0,1,2048.55
1549,652,France,Male,48,4,59486.31,1,1,0,163944.18
4339,559,France,Female,43,1,0.0,2,1,1,196645.87
6281,850,France,Male,31,4,0.0,2,0,0,152298.28
5358,658,France,Male,39,7,0.0,2,1,0,48378.4
8485,670,France,Male,25,7,0.0,2,1,1,144723.38
8454,502,France,Female,35,6,0.0,2,1,1,80618.47
2836,679,France,Male,60,8,0.0,2,1,1,51380.9
3845,712,France,Male,34,8,114088.32,1,1,0,92794.61
4973,617,France,Female,24,4,137295.19,2,1,1,91195.12
8596,709,France,Female,32,2,0.0,2,0,0,109681.29
9254,686,France,Male,32,6,0.0,2,1,1,179093.26
2914,604,France,Male,28,7,0.0,2,0,0,58595.64
5854,481,France,Female,34,5,0.0,2,1,1,125253.46
6899,569,France,Male,66,2,0.0,1,1,0,130784.2
4507,592,France,Male,28,2,116498.22,1,1,0,144290.25
604,702,France,Male,37,10,150525.8,1,1,1,94728.49
3049,615,France,Male,32,4,0.0,2,1,1,6225.63
9802,756,France,Male,40,1,94773.11,1,1,0,114279.63
9839,484,France,Male,41,5,0.0,1,1,1,74267.35
440,626,France,Female,35,3,0.0,1,0,0,80190.36
1074,535,France,Female,31,7,111855.04,2,1,1,36278.89
7513,718,France,Male,29,2,0.0,1,1,0,126336.72
9566,644,France,Male,37,6,117271.8,2,1,0,104217.96
6835,810,France,Male,33,6,0.0,2,1,1,77965.67
1866,559,France,Female,70,9,0.0,1,1,1,122996.76
6087,561,France,Female,27,9,135637.0,1,1,0,153080.4
7462,610,France,Male,40,9,0.0,1,1,1,149602.54
